MdbWendt,Marian Wendt CDU
Katrin_Werner,Katrin Werner LINKE
NicoleWestig,Nicole Westig FDP
h_weyel,Prof. Harald Weyel AfD
Kai_Whittaker,Kai Whittaker CDU
AWidmannMauz,Annette Widmann-Mauz CDU
WolfgangWiehle,Wolfgang Wiehle AfD
DirkWiese4,Dirk Wiese SPD
Heiko_Wildberg,Heiko Wildberg AfD
k_willkomm,Katharina Willkomm FDP
ChrWirthMdB,Dr. Christian Wirth AfD
Witt_Uwe,Uwe Witt AfD
ZdebelHubertus,Hubertus Zdebel LINKE
ZieglerMdB,Dagmar Ziegler SPD
PaulZiemiak,Paul Ziemiak CDU
zierke,Stefan Zierke SPD
matthiaszimmer,Matthias Zimmer CDU
JensZimmermann1,Jens Zimmermann SPD
